aggregation_distinct|Distinct Aggregation|Distinct count of high cardinality key on a large table|A||SELECT COUNT(DISTINCT o_custkey) FROM orders WHERE o_orderdate >= DATE '1995-01-01'
aggregation_distinct_groupby|Distinct Aggregation with Group By|Distinct count of high cardinality keys in low cardinality groups|A,G||
approx_count_distinct_simple|Approximate Distinct Count|HLL distinct count on a high-cardinality key (sketch on Polars/PySpark/DataFusion; exact on Pandas/Modin/cuDF/Dask)|A||SELECT APPROX_COUNT_DISTINCT(o_custkey) FROM orders WHERE o_orderdate >= DATE '1995-01-01'
approx_count_distinct_groupby|Approximate Distinct Count with Group By|HLL distinct counts per low-cardinality group (sketch on Polars/PySpark/DataFusion; exact on Pandas/Modin/cuDF/Dask)|A,G||
aggregation_groupby_large|Large Cardinality Group By|Aggregates within high cardinality grouping|A,G||
aggregation_groupby_small|Small Cardinality Group By|Aggregates within low cardinality grouping|A,G||
aggregation_materialize|Nested Aggregation|Nested aggregation requiring CTE materialization|A,Q||
aggregation_materialize_subquery|Subquery Materialization|Complex nested aggregation with joins|A,Q,J||
aggregation_partition|Partition Key Aggregation|Aggregates over the partition key|A,G||
aggregation_selective|Selective Aggregation|Aggregate on a small subset of rows|A,F||
aggregation_simple|Simple Aggregation|Aggregate over all rows in table|A||
filter_selective|High Selectivity Filter|High selectivity filter - few rows match|F||
filter_non_selective|Low Selectivity Filter|Low selectivity filter - many rows match|F||
count_star|Count Star|Metadata-based count optimization vs full table scan|A||
decimal_arithmetic|Decimal Arithmetic|Decimal precision arithmetic with complex expressions|P||
orderby_simple|Simple Order By|Simple ORDER BY single column|S||
orderby_multi|Multi-Column Order By|ORDER BY multiple columns|S||
orderby_desc|Descending Order By|ORDER BY with descending sort|S||
topn|Top-N Query|Top-N query with ORDER BY and LIMIT|S||
limit|Simple Limit|Simple LIMIT without ORDER BY|C||
limit_ordered|Ordered Limit|LIMIT clause with ordering on large result set|S||
string_like|String LIKE|String LIKE pattern matching|F||
string_starts_with|String Starts With|String starts_with pattern matching|F||
string_ends_with|String Ends With|String ends_with pattern matching|F||
string_concat|String Concatenation|String concatenation|P||
string_substring|String Substring|String substring extraction|P||
window_row_number|Window ROW_NUMBER|Window function ROW_NUMBER() OVER (PARTITION BY ... ORDER BY ...)|W||
window_rank|Window RANK|Window function RANK() OVER (PARTITION BY ... ORDER BY ...)|W||
window_sum|Window SUM|Window function SUM() OVER (PARTITION BY ...)|W,A||
window_running_sum|Window Running Sum|Window function SUM() OVER (ORDER BY ...) - cumulative sum|W,A||
broadcast_join_two_tables|Broadcast Join (2 tables)|One small table broadcast to join with one large table|J||
broadcast_join_three_tables|Broadcast Join (3 tables)|Two small tables broadcast to join with one large table|J,M||
predicate_ordering_aggregation|Predicate Ordering with Aggregation|Order filter predicates by selectivity for aggregation|F,A||
shuffle_join|Shuffle Join|Data is redistributed based on the join keys|J,A||
empty_build_join|Empty Build Side Join|Join when build side produces no rows (edge case handling)|J||
filter_bigint_selective|Bigint Selective Filter|Equality predicate with high selectivity on integer column|F||
filter_bigint_non_selective|Bigint Non-Selective Filter|Range predicate with low selectivity on large table|F,A||
filter_bigint_in_list_selective|Bigint IN List Filter|IN-list predicate with highly selective integer values|F|filter_bigint_in_list|
filter_decimal_selective|Decimal Selective Filter|Compound equality predicate with multiple decimal columns|F||
filter_decimal_non_selective|Decimal Non-Selective Filter|Range predicate on decimal column with low selectivity|F,A||
filter_string_selective|String Selective Filter|Exact string equality with high selectivity on varchar column|F||
filter_string_non_selective|String Non-Selective Filter|String comparison with low selectivity (most rows match)|F,A||
filter_in_predicate_selective|IN Predicate with Subquery|IN predicate with subquery and selective filtering|F,Q|filter_in_predicate_subquery|
groupby_bigint_highndv|High NDV GroupBy|GROUP BY with high distinct value count (many groups)|G,A|groupby_highndv|
groupby_bigint_lowndv|Low NDV GroupBy|GROUP BY with low distinct value count (few groups)|G,A|groupby_lowndv|
groupby_bigint_pk|Primary Key GroupBy|GROUP BY on primary key (one row per group)|G,A|groupby_pk|
groupby_decimal_highndv|High NDV Decimal GroupBy|GROUP BY with high cardinality decimal column|G,A||
groupby_decimal_lowndv|Low NDV Decimal GroupBy|GROUP BY with low cardinality decimal column|G,A||
orderby_all|Full Table Order By|Sort on full table with simple integer ordering|S||
orderby_bigint|Bigint Order By|Sort with aggregation results on integer column|S,A||
orderby_bigint_expression|Expression Order By|Sort on computed expressions with DESC ordering|S,P|orderby_expression|
