Q3|Date/Item Brand Sales|Reports sales for items by brand for a specific month and manufacturer|J,A,S,T
Q2|Web/Catalog Weekly Sales Year-over-Year|Compares weekly web+catalog sales ratios year-over-year by day of week|M,A,N,T
Q19|Store Sales Item/Customer Analysis|Reports sales by item brand for customers, filtered by manager and zip codes|M,A,S,T
Q42|Date/Item Category Sales|Reports sales by item category for a specific month and year|J,A,S,T
Q43|Store Sales Day Analysis|Reports store sales by day of week for a specific year|J,A,S,T
Q52|Date/Brand Extended Sales|Reports extended sales by brand for a specific month and year|J,A,S,T
Q55|Brand Manager Sales|Reports brand sales for items managed by a specific manager|J,A,S,T
Q96|Store Sales Time Count|Counts store sales for specific time periods|M,A,T
Q7|Promotion Analysis|Reports promotional impact on store sales for specific customer demographics|M,A,S,T
Q25|Store/Catalog Sales Item Analysis|Compares store and catalog sales for items in specific quarters|M,A,S,T
Q53|Store Manufacturer Sales|Reports store sales by manufacturer for specific months|M,A,S,T
Q63|Store Manufacturer Profit|Reports store profit by manufacturer for specific months|M,A,S,T
Q65|Store Sales Item Profit|Reports store sales item revenue analysis|M,A,S,T
Q68|Store Sales Customer Household|Reports customer household purchases by city|M,A,S,T
Q73|Store Sales Household Vehicle|Reports customer household purchases by vehicle count|M,A,S,T
Q79|Store Sales Customer/Store Profit|Reports customer profit by store for specific household demographics|M,A,S,T
Q89|Store Item Sales Profit|Reports monthly store sales average and deviation|M,A,S,T
Q98|Store Sales Item Band|Reports store sales by item category for specific categories|J,A,S,T
Q1|Customer Returns Analysis|Finds customers with above-average returns for their state|M,A,Q,T
Q6|Customer State/Item Analysis|Finds items where customers are concentrated by state|M,A,Q,T
Q12|Web Sales Item Analysis|Reports web sales by item category|J,A,S,T
Q15|Catalog Sales Analysis|Reports catalog sales for customers in specific zip codes|M,A,S,T
Q20|Catalog Sales Item Analysis|Reports catalog sales by item category|J,A,S,T
Q26|Catalog Sales Promo Analysis|Reports catalog sales promotion effectiveness|M,A,S,T
Q32|Catalog Sales Excess Discount|Finds items sold with excess discount|J,A,Q,T
