platform	endpoint	process_or_container	compose_file	compose_service	healthcheck	decision	bring_up_command	notes
lakesail	sc://localhost:50051	Sail Spark Connect container	docker/lakesail/docker-compose.yml	lakesail-connect	compose healthcheck + TCP probe	automate	make uat-bring-up PLATFORM=lakesail	Builds a local image from the public PySail package and mounts BENCHBOX_DATA_DIR at the same absolute path for Spark Connect data access.
cedardb	localhost:5435	CedarDB PostgreSQL-wire container	docker/cedardb/docker-compose.yml	cedardb	compose healthcheck + TCP probe	automate	make uat-bring-up PLATFORM=cedardb	Docker-backed local service.
clickhouse-server	localhost:9000	ClickHouse server container	docker/clickhouse/docker-compose.yml	clickhouse	compose healthcheck + TCP probe	automate	make uat-bring-up PLATFORM=clickhouse-server	Uses native TCP port 9000 and local password benchbox.
databend	localhost:8000	Databend query service container	docker/databend/docker-compose.yml	databend-query	compose healthcheck + TCP probe	automate	make uat-bring-up PLATFORM=databend	Docker-backed local service.
doris	localhost:19031	Doris FE/BE containers	docker/doris/docker-compose.yml	doris-fe,doris-be	compose healthcheck + TCP probe	automate	make uat-bring-up PLATFORM=doris	Requires the Doris compose stack and Java inside the image.
influxdb	localhost:8181	InfluxDB 3 container	docker/influxdb/docker-compose.yml	influxdb3	compose healthcheck + TCP probe	automate	make uat-bring-up PLATFORM=influxdb	Uses the InfluxDB 3 SQL/Flight endpoint.
pg-duckdb	localhost:5432	PostgreSQL with pg_duckdb extension	docker/postgres-extensions/docker-compose.pg-duckdb.yaml	pg-duckdb	compose healthcheck + TCP probe	automate	make uat-bring-up PLATFORM=pg-duckdb	Project-scoped compose stack; do not run alongside other PostgreSQL-family stacks on the default port.
pg-mooncake	localhost:5432	PostgreSQL with pg_mooncake extension	docker/postgres-extensions/docker-compose.pg-mooncake.yaml	pg-mooncake	compose healthcheck + TCP probe	automate	make uat-bring-up PLATFORM=pg-mooncake	Project-scoped compose stack; do not run alongside other PostgreSQL-family stacks on the default port.
postgresql	localhost:5432	PostgreSQL container	docker/postgresql/docker-compose.yml	postgresql	compose healthcheck + TCP probe	automate	make uat-bring-up PLATFORM=postgresql	Do not run at the same time as pg-duckdb, pg-mooncake, or timescaledb on the default port.
presto	localhost:18081	Presto coordinator container	docker/presto/docker-compose.yml	presto	compose healthcheck + TCP probe	automate	make uat-bring-up PLATFORM=presto	Docker-backed local service.
questdb	localhost:8812	QuestDB container	docker/questdb/docker-compose.yml	questdb	compose healthcheck + TCP probe	automate	make uat-bring-up PLATFORM=questdb	BenchBox also passes http_port=19000 at execution time.
singlestore	localhost:13306	SingleStore dev container	docker/singlestore/docker-compose.yml	singlestore	compose healthcheck + TCP probe	automate	make uat-bring-up PLATFORM=singlestore	Uses the free singlestoredb-dev image and password benchbox.
starrocks	localhost:19030	StarRocks FE/BE containers	docker/starrocks/docker-compose.yml	starrocks-fe,starrocks-be	compose healthcheck + TCP probe	automate	make uat-bring-up PLATFORM=starrocks	BenchBox also passes FE/HTTP port options at execution time.
timescaledb	localhost:5432	PostgreSQL with TimescaleDB extension	docker/postgres-extensions/docker-compose.timescaledb.yaml	timescaledb	compose healthcheck + TCP probe	automate	make uat-bring-up PLATFORM=timescaledb	Project-scoped compose stack; do not run alongside other PostgreSQL-family stacks on the default port.
trino	localhost:18080	Trino coordinator container	docker/trino/docker-compose.yml	trino	compose healthcheck + TCP probe	automate	make uat-bring-up PLATFORM=trino	Docker-backed local service.
velox	sc://localhost:50051	Velox Spark Connect container	docker/velox/docker-compose.yml	velox-connect	compose healthcheck + TCP probe	automate	make uat-bring-up PLATFORM=velox	Starts only the velox-connect service for host-run UAT.
